Date,Open,High,Low,Close,Volume,Adj Close
2011-08-31,0.23,0.25,0.23,0.25,7682000,0.22
2011-08-29,0.22,0.23,0.22,0.23,3064000,0.20
2011-08-26,0.22,0.22,0.22,0.22,1293000,0.19
2011-08-25,0.22,0.22,0.22,0.22,1474000,0.19
2011-08-24,0.22,0.22,0.22,0.22,1349000,0.19
2011-08-23,0.22,0.22,0.22,0.22,2647000,0.19
2011-08-22,0.22,0.22,0.21,0.22,3207000,0.19
2011-08-19,0.22,0.22,0.22,0.22,3187000,0.19
2011-08-18,0.23,0.23,0.23,0.23,1519000,0.20
2011-08-17,0.23,0.23,0.23,0.23,1892000,0.20
2011-08-16,0.23,0.23,0.23,0.23,4342000,0.20
2011-08-15,0.23,0.23,0.22,0.23,3011000,0.20
2011-08-12,0.23,0.23,0.22,0.22,3085000,0.20
2011-08-11,0.23,0.23,0.21,0.22,4425000,0.20
2011-08-10,0.23,0.24,0.22,0.23,5897000,0.20
2011-08-08,0.24,0.24,0.22,0.22,6929000,0.20
2011-08-05,0.25,0.25,0.24,0.25,6180000,0.21
2011-08-04,0.26,0.27,0.26,0.26,1641000,0.23
2011-08-03,0.26,0.26,0.26,0.26,979000,0.23
2011-08-02,0.27,0.28,0.26,0.27,1454000,0.23
2011-08-01,0.28,0.28,0.27,0.28,3148000,0.24
2011-07-29,0.27,0.28,0.27,0.27,900000,0.23
2011-07-28,0.26,0.27,0.26,0.27,1257000,0.23
2011-07-27,0.26,0.28,0.26,0.27,2997000,0.23
2011-07-26,0.26,0.27,0.26,0.27,1320000,0.23
2011-07-25,0.26,0.26,0.26,0.26,1441000,0.23
2011-07-22,0.26,0.27,0.26,0.27,2584000,0.23
2011-07-21,0.26,0.26,0.26,0.26,1623000,0.23
2011-07-20,0.26,0.26,0.26,0.26,1705000,0.23
2011-07-19,0.25,0.26,0.25,0.26,2530000,0.23
2011-07-18,0.25,0.27,0.25,0.25,2647000,0.22
2011-07-15,0.26,0.26,0.25,0.25,994000,0.22
2011-07-14,0.26,0.26,0.25,0.25,1641000,0.22
2011-07-13,0.26,0.26,0.25,0.26,4379000,0.23
2011-07-12,0.27,0.27,0.26,0.26,5674000,0.23
2011-07-11,0.28,0.28,0.27,0.27,1461000,0.23
2011-07-08,0.27,0.28,0.26,0.28,7364000,0.24
2011-07-07,0.27,0.28,0.26,0.26,2277000,0.23
2011-07-06,0.27,0.28,0.26,0.27,974000,0.23
2011-07-05,0.27,0.27,0.26,0.26,470000,0.23
2011-07-04,0.27,0.28,0.27,0.28,467000,0.24
2011-07-01,0.27,0.28,0.27,0.28,764000,0.24
2011-06-30,0.28,0.28,0.27,0.28,3160000,0.24
2011-06-29,0.28,0.28,0.27,0.28,2891000,0.24
2011-06-28,0.27,0.28,0.26,0.27,2313000,0.23
2011-06-27,0.26,0.26,0.26,0.26,2078000,0.23
2011-06-24,0.26,0.26,0.26,0.26,478000,0.23
2011-06-23,0.26,0.26,0.26,0.26,469000,0.23
2011-06-22,0.26,0.26,0.26,0.26,1499000,0.23
2011-06-21,0.26,0.26,0.25,0.26,623000,0.23
2011-06-20,0.25,0.26,0.25,0.25,810000,0.22
2011-06-17,0.25,0.25,0.25,0.25,3990000,0.22
2011-06-16,0.25,0.26,0.25,0.25,3337000,0.22
2011-06-15,0.26,0.27,0.26,0.26,2919000,0.23
2011-06-14,0.26,0.26,0.26,0.26,2197000,0.23
2011-06-13,0.27,0.27,0.26,0.26,913000,0.23
2011-06-10,0.28,0.28,0.27,0.27,3324000,0.23
2011-06-09,0.26,0.28,0.26,0.28,25975000,0.24
2011-06-08,0.26,0.26,0.25,0.25,1024000,0.22
2011-06-07,0.25,0.26,0.25,0.26,1150000,0.23
2011-06-06,0.26,0.26,0.25,0.25,3243000,0.22
2011-06-03,0.26,0.27,0.26,0.26,4420000,0.23
2011-06-02,0.26,0.26,0.26,0.26,3354000,0.23
2011-06-01,0.27,0.28,0.27,0.28,1114000,0.24
2011-05-31,0.27,0.28,0.27,0.28,2457000,0.24
2011-05-30,0.28,0.28,0.27,0.28,2513000,0.24
2011-05-27,0.26,0.28,0.26,0.28,10066000,0.24
2011-05-26,0.26,0.28,0.26,0.26,16431000,0.23
2011-05-25,0.26,0.26,0.25,0.26,3225000,0.23
2011-05-24,0.26,0.26,0.26,0.26,1051000,0.23
2011-05-23,0.27,0.27,0.26,0.26,1807000,0.23
2011-05-20,0.27,0.28,0.26,0.27,4280000,0.23
2011-05-19,0.27,0.28,0.26,0.26,3277000,0.23
2011-05-18,0.28,0.28,0.27,0.27,2184000,0.23
2011-05-16,0.28,0.28,0.28,0.28,2756000,0.24
2011-05-13,0.28,0.28,0.28,0.28,1324000,0.24
2011-05-12,0.28,0.28,0.28,0.28,1932000,0.24
2011-05-11,0.29,0.29,0.28,0.28,2048000,0.25
2011-05-10,0.28,0.29,0.28,0.28,1236000,0.25
2011-05-09,0.29,0.30,0.28,0.29,1649000,0.25
2011-05-06,0.29,0.29,0.28,0.28,1043000,0.25
2011-05-05,0.29,0.30,0.29,0.29,842000,0.26
2011-05-04,0.29,0.29,0.29,0.29,669000,0.25
2011-05-03,0.31,0.31,0.29,0.29,1045000,0.26
2011-04-29,0.31,0.31,0.30,0.30,846000,0.26
2011-04-28,0.31,0.31,0.31,0.31,750000,0.26
2011-04-27,0.32,0.32,0.31,0.31,290000,0.27
2011-04-26,0.32,0.32,0.31,0.31,1736000,0.27
2011-04-25,0.31,0.32,0.31,0.32,2305000,0.26
2011-04-21,0.31,0.32,0.31,0.31,2967000,0.25
2011-04-20,0.31,0.31,0.31,0.31,809000,0.25
2011-04-19,0.30,0.31,0.30,0.31,1054000,0.25
2011-04-18,0.31,0.31,0.31,0.31,864000,0.25
2011-04-15,0.31,0.31,0.31,0.31,367000,0.25
2011-04-14,0.31,0.32,0.31,0.31,1784000,0.25
2011-04-13,0.31,0.31,0.31,0.31,958000,0.25
2011-04-12,0.31,0.31,0.31,0.31,1328000,0.25
2011-04-11,0.32,0.32,0.32,0.32,1196000,0.26
2011-04-08,0.32,0.32,0.31,0.32,988000,0.26
2011-04-07,0.33,0.33,0.32,0.32,2831000,0.26
2011-04-06,0.31,0.32,0.31,0.32,2155000,0.26
2011-04-05,0.31,0.32,0.31,0.32,1728000,0.26
2011-04-04,0.32,0.32,0.31,0.32,781000,0.26
2011-04-01,0.31,0.32,0.31,0.32,3846000,0.26
2011-03-31,0.31,0.31,0.31,0.31,1327000,0.25
2011-03-30,0.31,0.32,0.31,0.31,3256000,0.25
2011-03-29,0.30,0.31,0.30,0.31,3533000,0.25
2011-03-28,0.31,0.31,0.31,0.31,1285000,0.25
2011-03-25,0.31,0.31,0.31,0.31,2980000,0.25
2011-03-24,0.31,0.31,0.31,0.31,2563000,0.25
2011-03-23,0.30,0.31,0.30,0.31,2710000,0.25
2011-03-22,0.29,0.31,0.29,0.30,10997000,0.24
2011-03-21,0.29,0.29,0.29,0.29,1043000,0.24
2011-03-18,0.29,0.29,0.28,0.29,391000,0.23
2011-03-17,0.28,0.29,0.28,0.28,2574000,0.23
2011-03-16,0.28,0.29,0.28,0.29,2271000,0.24
2011-03-15,0.30,0.30,0.28,0.28,6578000,0.23
2011-03-14,0.31,0.31,0.30,0.31,2699000,0.25
2011-03-11,0.31,0.31,0.31,0.31,3320000,0.25
2011-03-10,0.31,0.31,0.31,0.31,1598000,0.25
2011-03-09,0.31,0.31,0.31,0.31,374000,0.25
2011-03-08,0.31,0.31,0.31,0.31,1243000,0.25
2011-03-07,0.31,0.31,0.31,0.31,9008000,0.25
2011-03-04,0.31,0.31,0.31,0.31,6080000,0.25
2011-03-03,0.31,0.31,0.30,0.31,3424000,0.25
2011-03-02,0.31,0.31,0.30,0.30,2191000,0.24
2011-03-01,0.31,0.31,0.30,0.31,5984000,0.25
2011-02-28,0.31,0.31,0.30,0.30,2962000,0.24
2011-02-25,0.31,0.31,0.31,0.31,2259000,0.25
2011-02-24,0.31,0.31,0.31,0.31,3203000,0.25
2011-02-23,0.32,0.32,0.31,0.31,4921000,0.25
2011-02-22,0.34,0.34,0.32,0.32,5680000,0.26
2011-02-21,0.34,0.35,0.34,0.34,1125000,0.28
2011-02-18,0.34,0.35,0.34,0.34,5362000,0.28
2011-02-17,0.34,0.35,0.34,0.34,4458000,0.27
2011-02-16,0.34,0.34,0.34,0.34,4961000,0.28
2011-02-15,0.35,0.35,0.33,0.34,7598000,0.27
2011-02-14,0.35,0.36,0.35,0.35,1474000,0.28
2011-02-11,0.35,0.35,0.35,0.35,2423000,0.29
2011-02-10,0.37,0.37,0.35,0.35,5725000,0.28
2011-02-09,0.37,0.37,0.36,0.36,8030000,0.29
2011-02-08,0.35,0.36,0.35,0.36,4088000,0.29
2011-02-07,0.35,0.35,0.34,0.35,3895000,0.28
2011-02-02,0.34,0.35,0.34,0.35,2542000,0.28
2011-02-01,0.34,0.34,0.34,0.34,1662000,0.28
2011-01-31,0.34,0.34,0.34,0.34,4501000,0.27
2011-01-28,0.34,0.34,0.34,0.34,3391000,0.28
2011-01-27,0.34,0.34,0.34,0.34,2897000,0.27
2011-01-26,0.34,0.34,0.33,0.34,3829000,0.28
2011-01-25,0.34,0.35,0.33,0.34,7362000,0.27
2011-01-24,0.35,0.35,0.34,0.34,4421000,0.28
2011-01-21,0.35,0.35,0.34,0.35,1859000,0.28
2011-01-20,0.36,0.36,0.34,0.35,7755000,0.28
2011-01-19,0.35,0.37,0.35,0.36,13481000,0.29
2011-01-18,0.36,0.36,0.35,0.35,1432000,0.29
2011-01-17,0.36,0.36,0.35,0.35,2339000,0.29
2011-01-14,0.37,0.37,0.36,0.36,5121000,0.29
2011-01-13,0.36,0.37,0.36,0.36,11641000,0.29
2011-01-12,0.36,0.37,0.35,0.36,10628000,0.29
2011-01-11,0.35,0.36,0.35,0.36,5296000,0.29
2011-01-10,0.36,0.37,0.35,0.35,4108000,0.29
2011-01-07,0.36,0.37,0.36,0.36,4284000,0.29
2011-01-06,0.36,0.37,0.35,0.36,17996000,0.29
2011-01-05,0.37,0.38,0.35,0.35,35749000,0.29
2011-01-04,0.37,0.38,0.37,0.37,19217000,0.30
2011-01-03,0.36,0.37,0.36,0.37,9013000,0.30
