Date,Open,High,Low,Close,Volume,Adj Close
2011-07-08,1.22,1.23,1.22,1.23,19000,1.15
2011-07-07,1.22,1.23,1.22,1.22,20000,1.14
2011-07-06,1.21,1.21,1.21,1.21,5000,1.13
2011-07-05,1.20,1.21,1.20,1.21,37000,1.13
2011-07-01,1.22,1.22,1.21,1.21,19000,1.13
2011-06-30,1.23,1.23,1.21,1.21,6000,1.13
2011-06-28,1.20,1.20,1.20,1.20,5000,1.12
2011-06-24,1.19,1.20,1.18,1.18,66000,1.11
2011-06-22,1.19,1.19,1.17,1.18,21000,1.11
2011-06-21,1.19,1.19,1.19,1.19,17000,1.11
2011-06-20,1.19,1.25,1.19,1.20,46000,1.12
2011-06-17,1.17,1.18,1.17,1.17,25000,1.10
2011-06-16,1.17,1.17,1.16,1.17,69000,1.10
2011-06-15,1.18,1.18,1.18,1.18,8000,1.11
2011-06-14,1.17,1.17,1.17,1.17,5000,1.10
2011-06-13,1.17,1.17,1.17,1.17,3000,1.10
2011-06-09,1.19,1.19,1.19,1.19,158000,1.11
2011-06-08,1.19,1.19,1.19,1.19,31000,1.11
2011-06-07,1.19,1.19,1.19,1.19,33000,1.11
2011-06-06,1.19,1.19,1.19,1.19,40000,1.11
2011-06-03,1.19,1.20,1.18,1.19,73000,1.11
2011-06-02,1.18,1.18,1.18,1.18,10000,1.11
2011-06-01,1.20,1.20,1.19,1.20,35000,1.12
2011-05-31,1.18,1.19,1.17,1.18,518000,1.11
2011-05-30,1.19,1.19,1.19,1.19,29000,1.11
2011-05-27,1.19,1.19,1.15,1.18,314000,1.11
2011-05-26,1.21,1.21,1.20,1.20,85000,1.12
2011-05-25,1.25,1.27,1.19,1.20,648000,1.12
2011-05-24,1.29,1.30,1.29,1.30,15000,1.22
2011-05-20,1.30,1.30,1.30,1.30,21000,1.22
2011-05-19,1.26,1.31,1.26,1.31,31000,1.23
2011-05-16,1.28,1.29,1.28,1.29,14000,1.21
2011-05-13,1.28,1.28,1.25,1.25,24000,1.17
2011-05-11,1.29,1.29,1.28,1.28,35000,1.20
2011-05-10,1.24,1.28,1.24,1.28,19000,1.20
2011-05-06,1.22,1.22,1.22,1.22,113000,1.14
2011-05-05,1.20,1.24,1.20,1.24,11000,1.16
2011-05-04,1.22,1.23,1.22,1.23,93000,1.15
2011-05-03,1.22,1.22,1.22,1.22,25000,1.14
2011-04-29,1.25,1.25,1.23,1.23,327000,1.15
2011-04-28,1.28,1.28,1.25,1.27,410000,1.19
2011-04-27,1.30,1.30,1.27,1.28,339000,1.20
2011-04-26,1.32,1.32,1.30,1.30,87000,1.22
2011-04-25,1.32,1.32,1.31,1.32,41000,1.24
2011-04-21,1.32,1.32,1.32,1.32,25000,1.24
2011-04-20,1.33,1.33,1.32,1.32,158000,1.24
2011-04-18,1.33,1.36,1.33,1.36,67000,1.27
2011-04-15,1.35,1.35,1.35,1.35,33000,1.26
2011-04-14,1.37,1.37,1.37,1.37,55000,1.28
2011-04-13,1.35,1.35,1.35,1.35,6000,1.26
2011-04-12,1.38,1.38,1.38,1.38,7000,1.29
2011-04-04,1.36,1.38,1.36,1.37,21000,1.28
2011-04-01,1.37,1.37,1.37,1.37,10000,1.28
2011-03-30,1.37,1.40,1.37,1.39,52000,1.30
2011-03-29,1.35,1.35,1.35,1.35,5000,1.26
2011-03-28,1.36,1.36,1.36,1.36,6000,1.27
2011-03-25,1.34,1.35,1.33,1.34,19000,1.26
2011-03-23,1.32,1.32,1.32,1.32,2000,1.24
2011-03-22,1.30,1.34,1.30,1.33,178000,1.25
2011-03-21,1.31,1.31,1.28,1.30,72000,1.22
2011-03-18,1.31,1.31,1.30,1.31,19000,1.23
2011-03-17,1.32,1.32,1.32,1.32,10000,1.24
2011-03-16,1.37,1.37,1.34,1.34,58000,1.26
2011-03-15,1.37,1.37,1.37,1.37,5000,1.28
2011-03-11,1.36,1.36,1.36,1.36,4000,1.27
2011-03-10,1.37,1.38,1.36,1.38,24000,1.29
2011-03-09,1.38,1.38,1.37,1.37,42000,1.28
2011-03-08,1.37,1.38,1.36,1.36,88000,1.27
2011-03-07,1.38,1.38,1.37,1.37,61000,1.28
2011-03-04,1.42,1.42,1.42,1.42,5000,1.33
2011-03-03,1.41,1.41,1.41,1.41,8000,1.32
2011-03-02,1.41,1.41,1.39,1.39,23000,1.30
2011-03-01,1.42,1.42,1.39,1.41,18000,1.32
2011-02-28,1.38,1.38,1.38,1.38,21000,1.29
2011-02-25,1.36,1.38,1.36,1.38,88000,1.29
2011-02-24,1.38,1.39,1.35,1.35,52000,1.26
2011-02-22,1.45,1.45,1.45,1.45,23000,1.36
2011-02-21,1.45,1.47,1.45,1.47,22000,1.38
2011-02-18,1.50,1.50,1.46,1.47,31000,1.38
2011-02-17,1.50,1.50,1.50,1.50,13000,1.41
2011-02-16,1.46,1.46,1.45,1.45,5000,1.36
2011-02-15,1.53,1.53,1.51,1.51,6000,1.41
2011-02-14,1.52,1.52,1.52,1.52,10000,1.42
2011-02-11,1.52,1.52,1.52,1.52,10000,1.42
2011-02-10,1.51,1.55,1.48,1.50,142000,1.41
2011-02-09,1.59,1.59,1.58,1.58,50000,1.48
2011-02-08,1.63,1.63,1.61,1.61,23000,1.51
2011-02-07,1.61,1.63,1.60,1.61,31000,1.51
2011-02-02,1.60,1.61,1.60,1.61,7000,1.51
2011-02-01,1.61,1.61,1.53,1.60,8000,1.50
2011-01-31,1.60,1.60,1.59,1.59,6000,1.49
2011-01-28,1.64,1.64,1.60,1.60,56000,1.50
2011-01-27,1.60,1.60,1.60,1.60,1000,1.50
2011-01-26,1.61,1.61,1.60,1.60,22000,1.50
2011-01-25,1.60,1.64,1.60,1.61,21000,1.51
2011-01-24,1.64,1.64,1.60,1.60,52000,1.50
2011-01-21,1.62,1.63,1.59,1.59,13000,1.49
2011-01-20,1.60,1.61,1.58,1.59,30000,1.49
2011-01-19,1.61,1.62,1.60,1.60,66000,1.50
2011-01-18,1.60,1.65,1.60,1.61,183000,1.51
2011-01-17,1.60,1.60,1.58,1.60,98000,1.50
2011-01-14,1.55,1.59,1.55,1.57,117000,1.47
2011-01-13,1.56,1.57,1.55,1.55,122000,1.45
2011-01-12,1.53,1.57,1.51,1.55,361000,1.45
2011-01-11,1.60,1.60,1.55,1.55,341000,1.45
2011-01-10,1.63,1.63,1.60,1.60,285000,1.50
2011-01-07,1.65,1.65,1.62,1.63,238000,1.53
2011-01-06,1.66,1.68,1.65,1.65,27000,1.55
2011-01-05,1.65,1.66,1.65,1.66,30000,1.55
2011-01-04,1.69,1.70,1.65,1.65,247000,1.55
2011-01-03,1.70,1.70,1.68,1.68,17000,1.57
