Date,Open,High,Low,Close,Volume,Adj Close
2011-08-15,1.04,1.04,1.02,1.04,77000,1.04
2011-08-12,1.00,1.05,1.00,1.04,149000,1.04
2011-08-11,1.00,1.04,0.95,1.04,120000,1.04
2011-08-10,1.02,1.02,1.00,1.02,92000,1.02
2011-08-08,1.05,1.05,1.02,1.03,126000,1.03
2011-08-05,1.06,1.07,0.90,1.07,116000,1.07
2011-08-04,1.11,1.12,1.09,1.09,44000,1.09
2011-08-03,1.11,1.12,1.11,1.12,15000,1.12
2011-08-02,1.10,1.11,1.10,1.11,171000,1.11
2011-08-01,1.13,1.14,1.10,1.14,37000,1.14
2011-07-29,1.13,1.14,1.12,1.14,65000,1.14
2011-07-28,1.13,1.13,1.12,1.13,44000,1.13
2011-07-27,1.10,1.14,1.10,1.14,101000,1.14
2011-07-26,1.12,1.14,1.12,1.14,37000,1.14
2011-07-25,1.12,1.14,1.12,1.14,15000,1.14
2011-07-22,1.14,1.14,1.12,1.14,10000,1.14
2011-07-21,1.14,1.15,1.12,1.14,130000,1.14
2011-07-20,1.10,1.14,1.10,1.13,18000,1.13
2011-07-19,1.12,1.14,1.10,1.14,78000,1.14
2011-07-15,1.14,1.15,1.13,1.15,120000,1.15
2011-07-14,1.14,1.14,1.14,1.14,20000,1.14
2011-07-13,1.10,1.15,1.10,1.15,87000,1.15
2011-07-12,1.11,1.14,1.08,1.14,172000,1.14
2011-07-11,1.14,1.14,1.10,1.10,51000,1.10
2011-07-08,1.14,1.14,1.13,1.14,194000,1.14
2011-07-07,1.15,1.15,1.13,1.15,76000,1.15
2011-07-06,1.16,1.16,1.11,1.14,24000,1.14
2011-07-05,1.15,1.16,1.15,1.15,59000,1.15
2011-07-04,1.14,1.15,1.14,1.15,61000,1.15
2011-07-01,1.14,1.15,1.10,1.15,54000,1.15
2011-06-30,1.14,1.14,1.11,1.14,67000,1.14
2011-06-29,1.13,1.15,1.13,1.15,45000,1.15
2011-06-28,1.13,1.14,1.13,1.13,20000,1.13
2011-06-27,1.14,1.14,1.14,1.14,30000,1.14
2011-06-24,1.10,1.13,1.09,1.13,60000,1.13
2011-06-23,1.13,1.14,1.13,1.14,69000,1.14
2011-06-22,1.13,1.14,1.13,1.13,84000,1.13
2011-06-21,1.04,1.11,1.04,1.11,70000,1.11
2011-06-20,1.10,1.10,1.09,1.10,44000,1.10
2011-06-17,1.10,1.10,1.08,1.08,30000,1.08
2011-06-16,1.13,1.13,1.08,1.08,34000,1.08
2011-06-15,1.14,1.14,1.09,1.13,73000,1.13
2011-06-14,1.10,1.14,1.10,1.11,74000,1.11
2011-06-13,1.10,1.14,1.08,1.14,106000,1.14
2011-06-10,1.12,1.14,1.11,1.13,132000,1.13
2011-06-09,1.11,1.12,1.09,1.12,185000,1.12
2011-06-08,1.10,1.12,1.08,1.08,277000,1.08
2011-06-07,1.11,1.11,1.06,1.06,104000,1.06
2011-06-06,0.90,0.90,0.90,0.90,1000,0.90
2011-06-03,1.03,1.09,1.03,1.09,162000,1.09
2011-06-02,1.00,1.00,0.95,1.00,134000,1.00
2011-06-01,0.98,1.00,0.98,1.00,71000,1.00
2011-05-31,0.96,0.99,0.96,0.99,122000,0.99
2011-05-30,0.92,0.94,0.92,0.94,155000,0.94
2011-05-27,0.90,0.92,0.90,0.92,183000,0.92
2011-05-26,0.94,0.94,0.79,0.91,1146000,0.91
2011-05-25,0.98,0.98,0.94,0.94,83000,0.94
2011-05-24,0.98,0.99,0.98,0.98,2221000,0.98
2011-05-23,1.02,1.02,1.00,1.00,25000,1.00
2011-05-20,1.03,1.04,1.01,1.03,124000,1.03
2011-05-19,1.05,1.05,1.01,1.01,51000,1.01
2011-05-18,1.01,1.05,1.01,1.04,223000,1.04
2011-05-16,1.10,1.10,1.05,1.05,962000,1.05
2011-05-13,1.09,1.11,1.09,1.11,38000,1.11
2011-05-12,1.10,1.11,1.09,1.10,110000,1.10
2011-05-11,1.10,1.12,1.10,1.12,83000,1.12
2011-05-10,1.13,1.13,1.10,1.10,343000,1.10
2011-05-09,1.13,1.14,1.11,1.12,361000,1.12
2011-05-06,1.12,1.14,1.12,1.13,136000,1.13
2011-05-05,1.12,1.14,1.12,1.14,348000,1.14
2011-05-04,1.12,1.14,1.12,1.12,281000,1.12
2011-05-03,1.12,1.15,1.11,1.12,534000,1.12
2011-04-29,1.13,1.15,1.09,1.15,1242000,1.15
2011-04-28,1.16,1.17,1.13,1.16,830000,1.16
2011-04-27,1.14,1.22,1.14,1.15,655000,1.15
2011-04-26,1.12,1.15,1.10,1.11,270000,1.11
2011-04-25,1.13,1.14,1.13,1.13,49000,1.13
2011-04-21,1.16,1.16,1.13,1.13,16000,1.13
2011-04-20,1.13,1.14,1.13,1.14,36000,1.14
2011-04-19,1.13,1.16,1.13,1.14,247000,1.14
2011-04-18,1.13,1.16,1.13,1.16,220000,1.16
2011-04-15,1.14,1.14,1.12,1.12,322000,1.12
2011-04-14,1.15,1.15,1.12,1.13,181000,1.13
2011-04-13,1.13,1.15,1.13,1.15,166000,1.15
2011-04-12,1.16,1.17,1.14,1.14,538000,1.14
2011-04-11,1.17,1.18,1.16,1.17,186000,1.17
2011-04-08,1.18,1.20,1.17,1.17,616000,1.17
2011-04-07,1.19,1.21,1.18,1.18,616000,1.18
2011-04-06,1.18,1.19,1.17,1.18,404000,1.18
2011-04-05,1.20,1.21,1.17,1.18,484000,1.18
2011-04-04,1.20,1.22,1.19,1.20,739000,1.20
2011-04-01,1.20,1.22,1.20,1.20,779000,1.20
2011-03-31,1.21,1.23,1.21,1.21,252000,1.21
2011-03-30,1.23,1.24,1.21,1.21,444000,1.21
2011-03-29,1.20,1.23,1.20,1.20,333000,1.20
2011-03-28,1.22,1.22,1.19,1.20,386000,1.20
2011-03-25,1.21,1.23,1.21,1.22,347000,1.22
2011-03-24,1.22,1.23,1.22,1.22,311000,1.22
2011-03-23,1.24,1.24,1.22,1.23,331000,1.23
2011-03-22,1.24,1.25,1.23,1.24,251000,1.24
2011-03-21,1.25,1.25,1.23,1.24,242000,1.24
2011-03-18,1.24,1.25,1.24,1.24,379000,1.24
2011-03-17,1.24,1.24,1.24,1.24,189000,1.24
2011-03-16,1.24,1.27,1.23,1.24,597000,1.24
2011-03-15,1.25,1.26,1.24,1.25,247000,1.25
2011-03-14,1.26,1.27,1.26,1.27,38000,1.27
2011-03-11,1.25,1.30,1.25,1.29,295000,1.29
2011-03-10,1.27,1.28,1.27,1.27,135000,1.27
2011-03-09,1.27,1.28,1.26,1.26,182000,1.26
2011-03-08,1.26,1.30,1.25,1.25,1399000,1.25
2011-03-07,1.23,1.30,1.23,1.28,1135000,1.28
2011-03-04,1.25,1.25,1.22,1.22,544000,1.22
2011-03-03,1.25,1.26,1.23,1.24,1150000,1.24
2011-03-02,1.24,1.28,1.24,1.25,1014000,1.25
2011-03-01,1.24,1.26,1.23,1.25,682000,1.25
2011-02-28,1.27,1.27,1.25,1.25,924000,1.25
2011-02-25,1.27,1.28,1.27,1.28,501000,1.28
2011-02-24,1.28,1.29,1.28,1.28,459000,1.28
2011-02-23,1.33,1.33,1.29,1.29,571000,1.29
2011-02-22,1.33,1.33,1.27,1.32,670000,1.32
2011-02-21,1.30,1.34,1.29,1.34,853000,1.34
2011-02-18,1.29,1.36,1.27,1.27,814000,1.27
2011-02-17,1.27,1.29,1.26,1.26,1024000,1.26
2011-02-16,1.27,1.29,1.27,1.27,686000,1.27
2011-02-15,1.29,1.30,1.27,1.27,941000,1.27
2011-02-14,1.29,1.31,1.28,1.29,899000,1.29
2011-02-11,1.27,1.29,1.27,1.29,778000,1.29
2011-02-10,1.26,1.30,1.25,1.30,714000,1.30
2011-02-09,1.29,1.29,1.28,1.29,289000,1.29
2011-02-08,1.30,1.31,1.28,1.28,593000,1.28
2011-02-07,1.30,1.31,1.28,1.30,586000,1.30
2011-02-02,1.30,1.30,1.28,1.28,700000,1.28
2011-02-01,1.28,1.33,1.28,1.33,894000,1.33
2011-01-31,1.27,1.29,1.27,1.29,212000,1.29
2011-01-28,1.27,1.29,1.27,1.29,147000,1.29
2011-01-27,1.28,1.29,1.27,1.29,129000,1.29
2011-01-26,1.24,1.29,1.24,1.28,526000,1.28
2011-01-25,1.30,1.30,1.24,1.24,913000,1.24
2011-01-24,1.30,1.32,1.29,1.30,548000,1.30
2011-01-21,1.31,1.33,1.30,1.30,73000,1.30
2011-01-20,1.30,1.34,1.30,1.34,530000,1.34
2011-01-19,1.32,1.34,1.29,1.31,836000,1.31
2011-01-18,1.32,1.33,1.31,1.33,338000,1.33
2011-01-17,1.35,1.35,1.31,1.31,785000,1.31
2011-01-14,1.35,1.36,1.34,1.35,542000,1.35
2011-01-13,1.35,1.37,1.34,1.36,485000,1.36
2011-01-12,1.37,1.37,1.36,1.37,344000,1.37
2011-01-11,1.37,1.39,1.36,1.38,673000,1.38
2011-01-10,1.36,1.38,1.36,1.36,574000,1.36
2011-01-07,1.37,1.37,1.35,1.36,83000,1.36
2011-01-06,1.38,1.40,1.36,1.39,659000,1.39
2011-01-05,1.38,1.39,1.35,1.36,836000,1.36
2011-01-04,1.37,1.38,1.35,1.37,779000,1.37
2011-01-03,1.33,1.38,1.33,1.35,978000,1.35
